Year,Apprehensions,Decade,Deportations,VR,Administrative,EnforcementReturns,Criminal,Noncriminal,Title 42,Foreign Born,Naturalized,Noncitizen,Unauthorized population,US Population,App_lagged,Dep_App,President,All,None,Level1,Level2,Level3,Undocumented,ER_Non,arrests_total,arrests_federal,arrests_state,arrests_local,arrests_287g,arrests_community,arrests_other
2024,,2020,329990,,92310.0,355290.0,,,579080.0,51600000.0,,,,,,,Biden,102204.0,77494.0,9819.0,3846.0,11045.0,11200000.0,54870.0,,,,,,,
2023,,2020,177540,,154470.0,288820.0,,,1103970.0,47831400.0,,,,,,,Biden,145578.0,88697.0,23936.0,9044.0,23901.0,11000000.0,54933.0,,,,,,,
2022,2584220.0,2020,108733,261387.0,180266.0,81121.0,63266.0,45467.0,1103966.0,46182177.0,24509131.0,21673046.0,,333287557.0,1865379.0,5.829003114,Biden,73432.0,35109.0,18895.0,6433.0,12995.0,11000000.0,18874.0,,,,,,,
2021,1865379.0,2020,85783,178003.0,128339.0,49664.0,61117.0,24666.0,1071074.0,45270103.0,24044083.0,21226020.0,10500000.0,332031554.0,609265.0,14.07975183,Biden,56882.0,19495.0,19802.0,5788.0,11797.0,10500000.0,7607.0,,,,,,,
2020,609265.0,2010,237364,167452.0,113857.0,53595.0,119142.0,118222.0,206770.0,45101502.0,23613500.0,21488002.0,10350000.0,331511512.0,1175841.0,20.18674294,Trump,180313.0,78725.0,29956.0,18247.0,53568.0,10350000.0,31520.0,,,,,,,
2019,1175841.0,2010,347090,171120.0,89719.0,81401.0,169898.0,177192.0,,44932901.0,23182917.0,21749984.0,10200000.0,328329953.0,739486.0,46.936656,Trump,269823.0,117858.0,37720.0,21462.0,92783.0,10200000.0,51387.0,,,,,,,
2018,739486.0,2010,327608,159958.0,72756.0,87202.0,148203.0,179405.0,,44728721.0,22629737.0,22098984.0,10500000.0,326838199.0,607677.0,53.91153524,Trump,257239.0,110178.0,40778.0,20132.0,85451.0,10500000.0,41665.0,80569.0,12150.0,5673.0,32039.0,5212.0,21114.0,4381.0
2017,607677.0,2010,284365,100452.0,15072.0,85380.0,108519.0,175846.0,,44525855.0,21948732.0,22577123.0,10500000.0,325122128.0,683782.0,41.58708477,Trump,224503.0,97850.0,43247.0,18625.0,64781.0,10500000.0,42504.0,155117.0,21634.0,10391.0,64893.0,8284.0,42159.0,7756.0
2016,683782.0,2010,332331,106478.0,30341.0,76137.0,116734.0,215597.0,,43739345.0,21238372.0,22500973.0,10700000.0,323071755.0,596560.0,55.70789191,Obama2,241258.0,102673.0,45149.0,20352.0,73084.0,10700000.0,46759.0,109996.0,21948.0,10279.0,36924.0,3638.0,30243.0,6964.0
2015,596560.0,2010,324428,129636.0,43237.0,86399.0,122815.0,201613.0,,43290372.0,20697103.0,22593269.0,11000000.0,320738994.0,805334.0,40.28490043,Obama2,236272.0,96266.0,46758.0,20314.0,72934.0,11000000.0,45743.0,115456.0,25448.0,11004.0,38191.0,3416.0,30810.0,6587.0
2014,805334.0,2010,405193,163836.0,45666.0,118170.0,172395.0,232798.0,,42391794.0,19984738.0,22407056.0,11100000.0,318386329.0,786223.0,51.53665054,Obama2,319266.0,139510.0,56542.0,23933.0,99281.0,11100000.0,70177.0,162677.0,25633.0,12546.0,72802.0,9366.0,30975.0,11355.0
2013,786223.0,2010,432334,178972.0,44707.0,134265.0,198488.0,233846.0,,41348066.0,19294710.0,22053356.0,11200000.0,316059947.0,795735.0,54.3314043,Obama2,368809.0,150530.0,66382.0,27904.0,123993.0,11200000.0,71539.0,209445.0,29027.0,13877.0,100757.0,16559.0,36803.0,12422.0
2012,795735.0,2010,415579,231105.0,47361.0,183744.0,200039.0,215540.0,,40824658.0,18686237.0,22138421.0,11200000.0,313877662.0,678606.0,61.24010103,Obama1,407821.0,175988.0,72146.0,29436.0,130251.0,11200000.0,71686.0,266083.0,29527.0,17330.0,140049.0,23974.0,39978.0,15225.0
2011,678606.0,2010,390413,322045.0,60896.0,261149.0,189702.0,200711.0,,40377860.0,18140192.0,22237668.0,11500000.0,311583481.0,796587.0,49.01071697,Obama1,391166.0,170206.0,75590.0,21284.0,124086.0,11500000.0,41894.0,305710.0,31630.0,22436.0,160727.0,33272.0,39843.0,17802.0
2010,796587.0,2000,382449,471793.0,61895.0,409898.0,,,,39955854.0,17476082.0,22479772.0,11400000.0,309327143.0,889212.0,43.00987841,Obama1,383847.0,182618.0,74544.0,19693.0,106992.0,11400000.0,29686.0,306817.0,28237.0,22445.0,160733.0,36006.0,40838.0,18558.0
2009,889212.0,2000,379739,582557.0,59404.0,523153.0,,,,38517234.0,16846397.0,21670837.0,11300000.0,306771529.0,1043759.0,36.38186593,Obama1,401501.0,238903.0,65252.0,16713.0,80633.0,11300000.0,25361.0,305461.0,24475.0,26763.0,165823.0,4040.0,55982.0,28378.0
2008,1043759.0,2000,359795,811263.0,,,,,,37960935.0,16329909.0,21631026.0,11700000.0,304093966.0,960673.0,37.45239015,Bush2,385711.0,253342.0,57350.0,13429.0,61590.0,11700000.0,33694.0,68723.0,5291.0,6141.0,39885.0,20.0,9961.0,7425.0
2007,960673.0,2000,319382,891390.0,,,,,,38059694.0,16181883.0,21877811.0,12200000.0,301231207.0,1206408.0,26.47379659,Bush2,300140.0,188043.0,52126.0,11162.0,48809.0,12200000.0,41629.0,,,,,,,
2006,1206408.0,2000,280974,1043381.0,,,,,,37547789.0,15767731.0,21780058.0,11600000.0,298379912.0,1291065.0,21.76296314,Bush2,211925.0,115196.0,46728.0,9275.0,40726.0,11600000.0,39488.0,,,,,,,
2005,1291065.0,2000,246431,1096920.0,,,,,,35689842.0,14967828.0,20722014.0,11600000.0,295516599.0,1264232.0,19.49254567,Bush2,183263.0,92306.0,47287.0,8970.0,34700.0,11600000.0,28189.0,,,,,,,
2004,1264232.0,2000,240665,1166576.0,,,,,,31107900.0,,,,292805298.0,1046422.0,22.9988475,Bush1,177427.0,84362.0,48163.0,9092.0,35810.0,10490000.0,4018.0,,,,,,,
2003,1046422.0,2000,211098,945294.0,,,,,,31107900.0,,,10100000.0,290107933.0,1062270.0,19.87234884,Bush1,159331.0,74974.0,45574.0,8087.0,30696.0,10100000.0,4335.0,,,,,,,
2002,1062270.0,2000,165168,1012116.0,,,,,,31107900.0,,,,287625193.0,1387486.0,11.90412011,,,,,,,,,,,,,,,
2001,1387486.0,2000,189026,1349371.0,,,,,,31107900.0,,,,284968955.0,1814729.0,10.41621091,,,,,,,,,,,,,,,
2000,1814729.0,1990,188467,1675876.0,,,,,,31107900.0,,,8600000.0,282162411.0,1714035.0,10.99551643,,,,,,,,,,,,,,,
1999,1714035.0,1990,183114,1574863.0,,,,,,31107900.0,,,,272690813.0,1679439.0,10.90328378,,,,,,,,,,,,,,,
1998,1679439.0,1990,174813,1570127.0,,,,,,31107900.0,,,7250000.0,270248003.0,1536520.0,11.37720303,,,,,,,,,,,,,,,
1997,1536520.0,1990,114432,1440684.0,,,,,,31107900.0,,,,267783607.0,1649986.0,6.935331573,,,,,,,,,,,,,,,
1996,1649986.0,1990,69680,1573428.0,,,,,,31107900.0,,,,265228572.0,1394554.0,4.996579552,,,,,,,,,,,,,,,
1995,1394554.0,1990,50924,1313764.0,,,,,,31107900.0,,,5700000.0,262803276.0,1094719.0,4.651787354,,,,,,,,,,,,,,,
