qkey,lang,device_type,gender,agecat,racethnmod,racecmb,hisp,educcat,inc,inc_tier2,marital,relig,religcat1,attendper,cregion,usr_selfid,party,partysum,ideo,tipview,tip1,tip2,tipsugg,tipauto,tipexpect,tipself,tipfreq_rest_serv,tipfreq_rest_noserv,tipfreq_delvry,tipfreq_coffee,tipfreq_bar,tipfreq_taxi,tipfreq_hairct,tipfactor1_qual,tipfactor1_socpre,tipfactor1_wrkearn,tipfactor1_cost,tipfactor2_qual,tipfactor2_socpre,tipfactor2_wrkearn,tipfactor2_cost,tipamount,tipshare,sportsfan,sportsnum,talksports,ussport,sportsatt,whysports_comm,whysports_team,whysports_player,whysports_entertain,whysports_bet,whysports_family,whynotsports_othint,whynotsports_boring,whynotsports_compete,whynotsports_violent,whynotsports_political,whynotsports_money
100314,1,2,Male,65+,White non-Hispanic,White,No,Some College,"$80,000–$89,999",Middle income,Married,Protestant,Protestant,Seldom,Midwest,Rural,Republican,Rep/Lean Rep,Moderate,1,,2.0,3,6,3,2,1,3,6,6,1,6,1,,,,,3.0,3.0,3.0,3.0,4,1,3,4,5,1,3,3.0,1.0,3.0,1.0,3.0,3.0,,,,,,
100363,1,2,Female,30-49,White non-Hispanic,White,No,College graduate+,"$100,000 or more",Middle income,Married,Roman Catholic,Catholic,A few times a year,Northeast,Suburban,Democrat,Dem/Lean Dem,Liberal,2,4.0,,2,4,1,2,1,3,1,3,1,1,1,1.0,1.0,1.0,1.0,,,,,4,1,4,1,5,1,3,,,,,,,2.0,2.0,3.0,3.0,3.0,3.0
100598,1,1,Female,50-64,White non-Hispanic,White,No,College graduate+,"$100,000 or more",Upper income,Married,Protestant,Protestant,A few times a year,West,Suburban,Republican,Rep/Lean Rep,Moderate,3,,3.0,2,5,1,2,1,5,1,5,3,6,1,,,,,1.0,2.0,3.0,3.0,2,1,4,1,6,3,1,,,,,,,1.0,1.0,3.0,3.0,3.0,3.0
100637,1,1,Female,65+,White non-Hispanic,White,No,Some College,"$40,000–$49,999",Lower income,Married,Protestant,Protestant,More than once a week,South,Rural,Independent,Rep/Lean Rep,Very conservative,2,4.0,,5,5,1,1,1,5,6,6,6,6,1,1.0,2.0,3.0,2.0,,,,,2,1,5,5,6,1,1,,,,,,,1.0,1.0,3.0,2.0,1.0,3.0
100803,1,1,Female,65+,White non-Hispanic,White,No,College graduate+,"$100,000 or more",Upper income,Married,Protestant,Protestant,Once a week,Midwest,Rural,Republican,Rep/Lean Rep,Conservative,2,,4.0,4,4,1,2,1,5,4,6,6,6,3,,,,,1.0,2.0,3.0,1.0,1,1,2,1,3,3,1,3.0,1.0,1.0,2.0,3.0,1.0,,,,,,
101224,1,2,Male,65+,White non-Hispanic,White,No,Some College,"$70,000–$79,999",Middle income,Married,Protestant,Protestant,More than once a week,South,Rural,Republican,Rep/Lean Rep,Conservative,3,,2.0,3,4,3,2,1,4,6,6,6,6,6,,,,,3.0,3.0,3.0,3.0,4,1,3,4,3,3,1,2.0,1.0,2.0,2.0,3.0,1.0,,,,,,
101437,1,1,Female,65+,White non-Hispanic,White,No,Some College,"$30,000–$39,999",Middle income,Divorced,Protestant,Protestant,Once a week,Midwest,Rural,Republican,Rep/Lean Rep,Conservative,1,,4.0,3,6,1,1,1,3,1,4,6,6,1,,,,,1.0,3.0,3.0,3.0,7,1,5,5,6,3,1,,,,,,,1.0,3.0,3.0,3.0,3.0,1.0
101493,1,1,Male,65+,Hispanic,White,Yes,Some College,"$90,000–$99,999",Upper income,Separated,Nothing in particular,Unaffiliated,Never,West,Rural,Republican,Rep/Lean Rep,Conservative,99,,1.0,5,5,1,1,1,5,1,1,1,3,1,,,,,1.0,3.0,2.0,2.0,2,1,5,5,6,6,1,,,,,,,3.0,3.0,3.0,3.0,1.0,1.0
102198,1,1,Female,18-29,White non-Hispanic,White,No,College graduate+,"Less than $30,000",Lower income,Never been married,Protestant,Protestant,Once a week,Northeast,Suburban,Republican,Rep/Lean Rep,Conservative,3,4.0,,2,2,1,1,1,4,2,5,6,2,5,1.0,2.0,1.0,1.0,,,,,3,1,5,5,4,3,1,,,,,,,1.0,3.0,3.0,3.0,3.0,3.0
103060,1,1,Female,65+,White non-Hispanic,White,No,Some College,"$90,000–$99,999",Middle income,Married,Nothing in particular,Unaffiliated,Never,South,Suburban,Democrat,Dem/Lean Dem,Liberal,2,,2.0,5,5,1,2,1,5,1,1,1,1,1,,,,,1.0,3.0,3.0,3.0,2,1,5,5,6,1,1,,,,,,,1.0,3.0,3.0,1.0,3.0,3.0
103379,1,1,Male,65+,White non-Hispanic,White,No,Some College,"$100,000 or more",Upper income,Married,Protestant,Protestant,Once a week,South,Suburban,Republican,Rep/Lean Rep,Very conservative,2,3.0,,5,5,3,2,1,5,1,1,6,6,6,2.0,3.0,3.0,3.0,,,,,2,1,3,2,5,7,1,3.0,2.0,3.0,1.0,3.0,3.0,,,,,,
103519,1,2,Male,65+,White non-Hispanic,White,No,College graduate+,"$100,000 or more",99,Married,Agnostic,Unaffiliated,Never,West,Suburban,Independent,Dem/Lean Dem,Moderate,2,,4.0,4,5,1,2,1,2,6,6,1,1,1,,,,,2.0,2.0,1.0,1.0,4,3,2,4,1,3,1,2.0,1.0,2.0,1.0,3.0,3.0,,,,,,
103538,1,1,Male,65+,White non-Hispanic,White,No,College graduate+,"$100,000 or more",Upper income,Married,Roman Catholic,Catholic,Seldom,West,Rural,Independent,Dem/Lean Dem,Moderate,1,1.0,,1,5,1,2,1,2,6,1,1,6,6,1.0,3.0,3.0,3.0,,,,,4,3,3,2,6,3,3,3.0,1.0,3.0,1.0,3.0,3.0,,,,,,
103611,1,2,Female,65+,White non-Hispanic,White,No,College graduate+,"Less than $30,000",Middle income,Never been married,Roman Catholic,Catholic,Once or twice a month,Northeast,Urban,Democrat,Dem/Lean Dem,Moderate,3,4.0,,4,99,1,1,1,5,1,3,1,2,1,1.0,3.0,1.0,2.0,,,,,2,1,4,1,6,1,3,,,,,,,1.0,2.0,3.0,3.0,3.0,1.0
