"WEEK","REGION","country","ADMIN1","EVENT_TYPE","SUB_EVENT_TYPE","EVENTS","FATALITIES","POPULATION_EXPOSURE","DISORDER_TYPE","ID","CENTROID_LATITUDE","CENTROID_LONGITUDE","year","v2x_polyarchy","v2x_libdem","v2x_partipdem","v2x_delibdem","v2x_egaldem"
2026-02-28,"Europe","Akrotiri and Dhekelia","Akrotiri","Explosions/Remote violence","Air/drone strike",1,0,649,"Political violence",4120,34.6,32.9586,2026,NA,NA,NA,NA,NA
2018-06-09,"Europe","Akrotiri and Dhekelia","Akrotiri","Protests","Peaceful protest",1,0,183,"Demonstrations",4120,34.6,32.9586,2018,NA,NA,NA,NA,NA
2022-02-19,"Europe","Akrotiri and Dhekelia","Akrotiri","Protests","Peaceful protest",1,0,193,"Demonstrations",4120,34.6,32.9586,2022,NA,NA,NA,NA,NA
2022-05-28,"Europe","Akrotiri and Dhekelia","Akrotiri","Protests","Peaceful protest",1,0,89,"Demonstrations",4120,34.6,32.9586,2022,NA,NA,NA,NA,NA
2024-01-13,"Europe","Akrotiri and Dhekelia","Akrotiri","Protests","Peaceful protest",1,0,197,"Demonstrations",4120,34.6,32.9586,2024,NA,NA,NA,NA,NA
2024-09-28,"Europe","Akrotiri and Dhekelia","Akrotiri","Protests","Peaceful protest",1,0,197,"Demonstrations",4120,34.6,32.9586,2024,NA,NA,NA,NA,NA
2023-12-02,"Europe","Akrotiri and Dhekelia","Akrotiri","Strategic developments","Change to group/activity",1,0,NA,"Strategic developments",4120,34.6,32.9586,2023,NA,NA,NA,NA,NA
2024-01-06,"Europe","Akrotiri and Dhekelia","Akrotiri","Strategic developments","Change to group/activity",1,0,NA,"Strategic developments",4120,34.6,32.9586,2024,NA,NA,NA,NA,NA
2026-02-07,"Europe","Akrotiri and Dhekelia","Akrotiri","Strategic developments","Change to group/activity",1,0,NA,"Strategic developments",4120,34.6,32.9586,2026,NA,NA,NA,NA,NA
2026-02-28,"Europe","Akrotiri and Dhekelia","Akrotiri","Strategic developments","Disrupted weapons use",1,0,NA,"Strategic developments",4120,34.6,32.9586,2026,NA,NA,NA,NA,NA
2026-03-21,"Europe","Akrotiri and Dhekelia","Akrotiri","Strategic developments","Other",1,0,NA,"Strategic developments",4120,34.6,32.9586,2026,NA,NA,NA,NA,NA
2021-01-16,"Europe","Akrotiri and Dhekelia","Dhekelia","Protests","Peaceful protest",1,0,151,"Demonstrations",4119,35.0206,33.758,2021,NA,NA,NA,NA,NA
2021-01-23,"Europe","Akrotiri and Dhekelia","Dhekelia","Protests","Peaceful protest",1,0,151,"Demonstrations",4119,35.0206,33.758,2021,NA,NA,NA,NA,NA
2023-07-08,"Europe","Akrotiri and Dhekelia","Dhekelia","Protests","Peaceful protest",1,0,82,"Demonstrations",4119,35.0206,33.758,2023,NA,NA,NA,NA,NA
2025-02-15,"Europe","Akrotiri and Dhekelia","Dhekelia","Protests","Peaceful protest",1,0,82,"Demonstrations",4119,35.0206,33.758,2025,NA,NA,NA,NA,NA
2025-08-30,"Europe","Akrotiri and Dhekelia","Dhekelia","Protests","Peaceful protest",1,0,902,"Demonstrations",4119,35.0206,33.758,2025,NA,NA,NA,NA,NA
2026-01-31,"Europe","Akrotiri and Dhekelia","Dhekelia","Protests","Peaceful protest",1,0,83,"Demonstrations",4119,35.0206,33.758,2026,NA,NA,NA,NA,NA
2021-09-18,"Europe","Akrotiri and Dhekelia","Dhekelia","Riots","Mob violence",1,0,429,"Political violence",4119,35.0206,33.758,2021,NA,NA,NA,NA,NA
2019-01-26,"Europe","Akrotiri and Dhekelia","Dhekelia","Strategic developments","Change to group/activity",1,0,NA,"Strategic developments",4119,35.0206,33.758,2019,NA,NA,NA,NA,NA
2020-01-18,"Europe","Akrotiri and Dhekelia","Dhekelia","Strategic developments","Change to group/activity",1,0,NA,"Strategic developments",4119,35.0206,33.758,2020,NA,NA,NA,NA,NA
2024-02-10,"Europe","Akrotiri and Dhekelia","Dhekelia","Strategic developments","Change to group/activity",1,0,NA,"Strategic developments",4119,35.0206,33.758,2024,NA,NA,NA,NA,NA
2021-05-15,"Europe","Albania","Berat","Protests","Excessive force against protesters",1,0,329,"Political violence; Demonstrations",35,40.6567,20.088,2021,0.53,0.439,0.33,0.342,0.401
2018-05-05,"Europe","Albania","Berat","Protests","Peaceful protest",1,0,8043,"Demonstrations",35,40.6567,20.088,2018,0.527,0.432,0.319,0.271,0.385
2018-12-08,"Europe","Albania","Berat","Protests","Peaceful protest",1,0,8043,"Demonstrations",35,40.6567,20.088,2018,0.527,0.432,0.319,0.271,0.385
2019-03-02,"Europe","Albania","Berat","Protests","Peaceful protest",1,0,2,"Demonstrations",35,40.6567,20.088,2019,0.517,0.432,0.314,0.265,0.375
2019-03-23,"Europe","Albania","Berat","Protests","Peaceful protest",1,0,13,"Demonstrations",35,40.6567,20.088,2019,0.517,0.432,0.314,0.265,0.375
2019-06-08,"Europe","Albania","Berat","Protests","Peaceful protest",1,0,13,"Demonstrations",35,40.6567,20.088,2019,0.517,0.432,0.314,0.265,0.375
2019-06-22,"Europe","Albania","Berat","Protests","Peaceful protest",1,0,7874,"Demonstrations",35,40.6567,20.088,2019,0.517,0.432,0.314,0.265,0.375
2019-08-03,"Europe","Albania","Berat","Protests","Peaceful protest",2,0,7901,"Demonstrations",35,40.6567,20.088,2019,0.517,0.432,0.314,0.265,0.375
2019-08-10,"Europe","Albania","Berat","Protests","Peaceful protest",1,0,27,"Demonstrations",35,40.6567,20.088,2019,0.517,0.432,0.314,0.265,0.375
